timestamp,connectedPlayers
2023/05/20 20:14:02,1
2023/05/20 20:14:03,2
2023/05/20 20:14:04,3
2023/05/20 20:14:05,4
2023/05/20 20:14:06,5
2023/05/20 20:14:07,6
2023/05/20 20:14:08,7
2023/05/20 20:14:08,7
2023/05/20 20:14:09,8
2023/05/20 20:14:18,8
2023/05/20 20:14:28,8
2023/05/20 20:14:38,8
2023/05/20 20:14:48,8
2023/05/20 20:14:58,8
2023/05/20 20:15:08,8
2023/05/20 20:15:18,8
2023/05/20 20:15:28,8
2023/05/20 20:15:38,8
2023/05/20 20:15:48,8
2023/05/20 20:15:58,8
2023/05/20 20:16:08,8
2023/05/20 20:16:18,8
2023/05/20 20:16:28,8
2023/05/20 20:16:38,8
2023/05/20 20:16:48,8
2023/05/20 20:16:58,8
2023/05/20 20:17:08,8
2023/05/20 20:17:18,8
2023/05/20 20:17:28,8
2023/05/20 20:17:38,8
2023/05/20 20:17:48,8
2023/05/20 20:17:58,8
2023/05/20 20:18:08,8
2023/05/20 20:18:18,8
2023/05/20 20:18:28,8
2023/05/20 20:18:38,8
2023/05/20 20:18:48,8
2023/05/20 20:18:58,8
2023/05/20 20:19:08,8
2023/05/20 20:19:18,8
2023/05/20 20:19:28,8
2023/05/20 20:19:38,8
2023/05/20 20:19:48,8
2023/05/20 20:19:58,8
2023/05/20 20:20:08,8
2023/05/20 20:20:18,8
2023/05/20 20:20:28,8
2023/05/20 20:20:38,8
2023/05/20 20:20:48,8
2023/05/20 20:20:58,8
2023/05/20 20:21:08,8
2023/05/20 20:21:18,8
2023/05/20 20:21:28,8
2023/05/20 20:21:38,8
2023/05/20 20:21:48,8
2023/05/20 20:21:58,8
2023/05/20 20:22:08,8
2023/05/20 20:22:18,8
2023/05/20 20:22:28,8
2023/05/20 20:22:38,8
2023/05/20 20:22:48,8
2023/05/20 20:22:58,8
2023/05/20 20:23:08,8
2023/05/20 20:23:18,8
2023/05/20 20:23:28,8
2023/05/20 20:23:38,8
2023/05/20 20:23:48,8
2023/05/20 20:23:58,8
2023/05/20 20:24:02,7
2023/05/20 20:24:03,6
2023/05/20 20:24:04,5
2023/05/20 20:24:05,4
2023/05/20 20:24:06,3
2023/05/20 20:24:07,2
2023/05/20 20:24:08,1
2023/05/20 20:24:08,1
2023/05/20 20:24:09,0
