timestamp,connectedPlayers
2023/05/20 17:35:24,1
2023/05/20 17:35:25,2
2023/05/20 17:35:26,3
2023/05/20 17:35:27,4
2023/05/20 17:35:28,5
2023/05/20 17:35:29,6
2023/05/20 17:35:30,7
2023/05/20 17:35:31,8
2023/05/20 17:35:31,8
2023/05/20 17:35:41,8
2023/05/20 17:35:51,8
2023/05/20 17:36:01,8
2023/05/20 17:36:11,8
2023/05/20 17:36:21,8
2023/05/20 17:36:31,8
2023/05/20 17:36:41,8
2023/05/20 17:36:51,8
2023/05/20 17:37:01,8
2023/05/20 17:37:11,8
2023/05/20 17:37:21,8
2023/05/20 17:37:31,8
2023/05/20 17:37:41,8
2023/05/20 17:37:51,8
2023/05/20 17:38:01,8
2023/05/20 17:38:11,8
2023/05/20 17:38:21,8
2023/05/20 17:38:31,8
2023/05/20 17:38:41,8
2023/05/20 17:38:51,8
2023/05/20 17:39:01,8
2023/05/20 17:39:11,8
2023/05/20 17:39:21,8
2023/05/20 17:39:31,8
2023/05/20 17:39:41,8
2023/05/20 17:39:51,8
2023/05/20 17:40:01,8
2023/05/20 17:40:11,8
2023/05/20 17:40:21,8
2023/05/20 17:40:31,8
2023/05/20 17:40:41,8
2023/05/20 17:40:51,8
2023/05/20 17:41:01,8
2023/05/20 17:41:11,8
2023/05/20 17:41:21,8
2023/05/20 17:41:31,8
2023/05/20 17:41:41,8
2023/05/20 17:41:51,8
2023/05/20 17:42:01,8
2023/05/20 17:42:11,8
2023/05/20 17:42:21,8
2023/05/20 17:42:31,8
2023/05/20 17:42:41,8
2023/05/20 17:42:51,8
2023/05/20 17:43:01,8
2023/05/20 17:43:11,8
2023/05/20 17:43:21,8
2023/05/20 17:43:31,8
2023/05/20 17:43:41,8
2023/05/20 17:43:51,8
2023/05/20 17:44:01,8
2023/05/20 17:44:11,8
2023/05/20 17:44:21,8
2023/05/20 17:44:31,8
2023/05/20 17:44:41,8
2023/05/20 17:44:51,8
2023/05/20 17:45:01,8
2023/05/20 17:45:11,8
2023/05/20 17:45:21,8
2023/05/20 17:45:24,7
2023/05/20 17:45:25,6
2023/05/20 17:45:26,5
2023/05/20 17:45:27,4
2023/05/20 17:45:28,3
2023/05/20 17:45:29,2
2023/05/20 17:45:30,1
2023/05/20 17:45:31,0
